phase,stufe,topology,attacker_name,defender_algo,run_id,episode,agent,env_id,algorithm,timestep,episode_reward,episode_length,atk_invalid,atk_valid,atk_cj_reached,atk_cj_step,atk_won,atk_max_owned,atk_hold_reward,atk_eviction,def_reimage,def_block,def_allow,def_stop_svc,def_stop_svc_clean,def_start_svc,def_invalid,def_recovered,def_sla_break_steps
evaluation,keiner,dmz,dmz,None,eval_keiner_dmz_dmz_seed0,18,attacker,CyberBattleDMZ-thesis-v0,MaskablePPO,504,5351.675,31,0,31,1,16,1,10,18.675,0.0,,,,,,,,,
evaluation,keiner,dmz,dmz,None,eval_keiner_dmz_dmz_seed0,19,attacker,CyberBattleDMZ-thesis-v0,MaskablePPO,533,5347.4502,29,0,29,1,15,1,10,18.449999999999996,0.0,,,,,,,,,
evaluation,keiner,dmz,dmz,None,eval_keiner_dmz_dmz_seed0,20,attacker,CyberBattleDMZ-thesis-v0,MaskablePPO,567,5357.0,34,0,34,1,14,1,10,24.0,0.0,,,,,,,,,
evaluation,keiner,dmz,dmz,None,eval_keiner_dmz_dmz_seed0,21,attacker,CyberBattleDMZ-thesis-v0,MaskablePPO,591,5344.875,24,0,24,1,15,1,10,11.875,0.0,,,,,,,,,
evaluation,keiner,dmz,dmz,None,eval_keiner_dmz_dmz_seed0,22,attacker,CyberBattleDMZ-thesis-v0,MaskablePPO,618,5252.8748,27,0,27,1,27,1,10,9.875000000000004,0.0,,,,,,,,,
evaluation,keiner,dmz,dmz,None,eval_keiner_dmz_dmz_seed0,23,attacker,CyberBattleDMZ-thesis-v0,MaskablePPO,652,5354.75,34,0,34,1,21,1,10,15.749999999999996,0.0,,,,,,,,,
evaluation,keiner,dmz,dmz,None,eval_keiner_dmz_dmz_seed0,24,attacker,CyberBattleDMZ-thesis-v0,MaskablePPO,1172,5652.2,520,0,520,1,389,1,10,251.19999999999928,0.0,,,,,,,,,
evaluation,keiner,dmz,dmz,None,eval_keiner_dmz_dmz_seed0,25,attacker,CyberBattleDMZ-thesis-v0,MaskablePPO,1206,5356.575,34,0,34,1,15,1,10,23.575000000000003,0.0,,,,,,,,,
evaluation,keiner,dmz,flat,None,eval_keiner_dmz_flat_seed1,1,attacker,CyberBattleDMZ-thesis-v0,MaskablePPO,2000,1622.775,2000,0,2000,1,1242,0,8,1192.7749999999971,0.0,,,,,,,,,
evaluation,keiner,dmz,flat,None,eval_keiner_dmz_flat_seed1,2,attacker,CyberBattleDMZ-thesis-v0,MaskablePPO,4000,2017.925,2000,0,2000,1,286,0,9,1583.9249999999627,0.0,,,,,,,,,
evaluation,keiner,dmz,flat,None,eval_keiner_dmz_flat_seed1,3,attacker,CyberBattleDMZ-thesis-v0,MaskablePPO,5805,6919.925,1805,0,1805,1,312,1,10,1466.9250000000047,0.0,,,,,,,,,
evaluation,keiner,dmz,flat,None,eval_keiner_dmz_flat_seed1,4,attacker,CyberBattleDMZ-thesis-v0,MaskablePPO,7805,2348.125,2000,0,2000,1,42,0,8,1925.125000000046,0.0,,,,,,,,,
evaluation,keiner,dmz,flat,None,eval_keiner_dmz_flat_seed1,5,attacker,CyberBattleDMZ-thesis-v0,MaskablePPO,9805,1925.5,2000,0,2000,1,95,0,7,1528.5000000000314,0.0,,,,,,,,,
evaluation,keiner,dmz,flat,None,eval_keiner_dmz_flat_seed1,6,attacker,CyberBattleDMZ-thesis-v0,MaskablePPO,11805,2010.025,2000,0,2000,1,123,0,8,1568.0250000000185,0.0,,,,,,,,,
evaluation,keiner,dmz,flat,None,eval_keiner_dmz_flat_seed1,7,attacker,CyberBattleDMZ-thesis-v0,MaskablePPO,13805,2035.325,2000,0,2000,1,73,0,8,1637.3250000000187,0.0,,,,,,,,,
evaluation,keiner,dmz,flat,None,eval_keiner_dmz_flat_seed1,8,attacker,CyberBattleDMZ-thesis-v0,MaskablePPO,15588,6638.8251,1783,0,1783,1,781,1,10,1218.8249999999853,0.0,,,,,,,,,
evaluation,keiner,dmz,flat,None,eval_keiner_dmz_flat_seed1,9,attacker,CyberBattleDMZ-thesis-v0,MaskablePPO,17588,2154.35,2000,0,2000,1,113,0,7,1756.3500000000206,0.0,,,,,,,,,
evaluation,keiner,dmz,flat,None,eval_keiner_dmz_flat_seed1,10,attacker,CyberBattleDMZ-thesis-v0,MaskablePPO,19588,2249.675,2000,0,2000,1,393,0,9,1790.6750000000002,0.0,,,,,,,,,
evaluation,keiner,dmz,flat,None,eval_keiner_dmz_flat_seed1,11,attacker,CyberBattleDMZ-thesis-v0,MaskablePPO,21588,1984.525,2000,0,2000,1,184,0,6,1590.525000000055,0.0,,,,,,,,,
evaluation,keiner,dmz,flat,None,eval_keiner_dmz_flat_seed1,12,attacker,CyberBattleDMZ-thesis-v0,MaskablePPO,23423,6856.5002,1835,0,1835,1,505,1,10,1409.5000000000134,0.0,,,,,,,,,
evaluation,keiner,dmz,flat,None,eval_keiner_dmz_flat_seed1,13,attacker,CyberBattleDMZ-thesis-v0,MaskablePPO,25423,2184.75,2000,0,2000,1,417,0,9,1739.7499999999986,0.0,,,,,,,,,
evaluation,keiner,dmz,flat,None,eval_keiner_dmz_flat_seed1,14,attacker,CyberBattleDMZ-thesis-v0,MaskablePPO,27423,2096.7,2000,0,2000,1,234,0,9,1625.6999999999875,0.0,,,,,,,,,
